Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Nandy, Anup; Pathak, Akanksha; Chakraborty, Pavan; ",A study on gait entropy image analysis for clothing invariant human identification,Multimedia Tools and Applications,76,7,9133-9167,2017,Springer US New York
"Nandy, Anup; Pathak, Akanksha; Chakraborty, Pavan; Nandi, GC; ",Gait identification using component based gait energy image analysis,2014 International Conference on Signal Propagation and Computer Technology (ICSPCT 2014),,,380-385,2014,IEEE
"Samanta, Pranab; Pathak, Akanksha; Mandana, Kayapanda; Saha, Goutam; ",Identification of coronary artery diseased subjects using spectral featuries,2018 Twenty Fourth National Conference on Communications (NCC),,,1-6,2018,IEEE
"Samanta, Pranab; Pathak, Akanksha; Mandana, Kayapanda; Saha, Goutam; ",Classification of coronary artery diseased and normal subjects using multi-channel phonocardiogram signal,Biocybernetics and Biomedical Engineering,39,2,426-443,2019,Elsevier
"Pathak, Akanksha; Samanta, Pranab; Mandana, Kayapanda; Saha, Goutam; ",An improved method to detect coronary artery disease using phonocardiogram signals in noisy environment,Applied Acoustics,164,,107242,2020,Elsevier
"Akanksha Pathak, Pranab Samanta, Kayapanda Mandana, Goutam Saha; ",Identification of Coronary Artery Diseased Subjects Using Cross Power Spectral Density,"IEEE, INDICON",,14-th,1-6,2017,
"Pathak, Akanksha; Samanta, Pranab; Mandana, Kayapanda; Saha, Goutam; ",Detection of coronary artery atherosclerotic disease using novel features from synchrosqueezing transform of phonocardiogram,Biomedical Signal Processing and Control,62,,102055,2020,Elsevier
"Pathak, Akanksha; Mandana, Kayapanda; Saha, Goutam; ",Ensembled transfer learning and multiple kernel learning for phonocardiogram based atherosclerotic coronary artery disease detection,IEEE Journal of Biomedical and Health Informatics,26,6,2804-2813,2022,IEEE
"Nahak, Sudestna; Pathak, Akanksha; Saha, Goutam; ",Evaluation of handcrafted features and learned representations for the classification of arrhythmia and congestive heart failure in ECG,Biomedical Signal Processing and Control,79,,104230,2023,Elsevier
"Pathak, Akanksha; ",Atherosclerotic Coronary Artery Disease Detection using Multichannel Phonocardiogram Signals,,,,,,IIT Kharagpur
"Maity, Arnab; Pathak, Akanksha; Saha, Goutam; ",Transfer learning based heart valve disease classification from phonocardiogram signal,Biomedical signal processing and control,85,,104805,2023,Elsevier
"Nahak, Sudestna; Pathak, Akanksha; Saha, Goutam; ",Fragment-level classification of ECG arrhythmia using wavelet scattering transform,Expert Systems with Applications,224,,120019,2023,Pergamon
"Sharma, Akanksha; Smith, Daniel R; Slutsky-Ganesh, Alexis B; Diekfuss, Jed A; Hogg, Jennifer A; Foss, Kim D Barber; Riehm, Christopher D; Ogier, Augustin C; Michel, Constance P; Bendahan, David; ",Integrating intramuscular fat radiomics with hamstrings-to-quadriceps structure and function ratios to predict future hamstring strain injury,PLOS Digital Health,4,12,e0001144,2025,"Public Library of Science San Francisco, CA USA"
"Sharma, Akanksha; Dam, Tanmoy; Mwangelwa, Sepo; Kabengele, Chishiba; Kilembe, William; Vwalika, Bellington; Inambao, Mubiana; Secor, W Evan; Parker, Rachel; Skarkey, Tyronza; ",AID-FGS: Artificial intelligence-enabled diagnosis of female genital schistosomiasis: Preliminary findings,PLOS Digital Health,5,2,e0001255,2026,"Public Library of Science San Francisco, CA USA"
"Modesitt, Susan; Thayer, Elizabeth; Diwan, Saumya; Sharma, Akanksha; Azamat, Sena; Scalici, Jennifer; Madabhushi, Anant; ",Beyond the endometrial stripe: Prediction of endometrial cancer using AI-based analysis of pelvic ultrasound images,Gynecologic Oncology,208,,S308,2026,Elsevier
