Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
17,"A Gudigar, U Raghavendra, M Maithri, J Samanth…","Automated system for the detection of heart anomalies using phonocardiograms: A systematic review",2024,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10685373/","https://scholar.google.com/scholar?cites=8708295670581517125&as_sdt=80005&sciodt=0,11&hl=en",1,"2026-08-23 16:46:44","","","",,,,,,17,8.50,3,5,2,"Phonocardiogram (PCG) signals generated by the heart contain information about heart conditions. This review examines how PCG analysis identifies and diagnoses heart issues …","https://ieeexplore.ieee.org/iel8/6287639/6514899/10685373.pdf","https://scholar.google.com/scholar?q=related:RVsVHMYU2ngJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
130,"F Khozeimeh, D Sharifrazi, NH Izadi, JH Joloudari…","RF-CNN-F: random forest with convolutional neural network features for coronary artery disease diagnosis based on cardiac magnetic resonance",2022,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-022-15374-5","https://scholar.google.com/scholar?cites=1764127577190240870&as_sdt=80005&sciodt=0,11&hl=en",2,"2026-08-23 16:46:44","HTML","","",,,,,,130,32.50,26,5,4,"Coronary artery disease (CAD) is a prevalent disease with high morbidity and mortality rates. Invasive coronary angiography is the reference standard for diagnosing CAD but is …","https://www.nature.com/articles/s41598-022-15374-5","https://scholar.google.com/scholar?q=related:ZhLlSK9wexgJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
67,"A Maity, A Pathak, G Saha","Transfer learning based heart valve disease classification from phonocardiogram signal",2023,"Biomedical signal processing and control","Elsevier","https://www.sciencedirect.com/science/article/pii/S1746809423002380","https://scholar.google.com/scholar?cites=7124526970628981024&as_sdt=80005&sciodt=0,11&hl=en",3,"2026-08-23 16:46:44","","","",,,,,,67,22.33,22,3,3,"Physiological conditions that prevent heart valves from functioning precisely to ensure proper blood circulation are known as heart valve disorder (HVD). Detection of HVD is …","","https://scholar.google.com/scholar?q=related:IMEHTYhn32IJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
28,"H Zhang, F Tian, Y Tan, L Shen, J Liu…","An AI-assisted all-in-one integrated coronary artery disease diagnosis system using a portable heart sound sensor with an on-board executable lightweight model",2025,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10909628/","https://scholar.google.com/scholar?cites=710021318816306512&as_sdt=80005&sciodt=0,11&hl=en",4,"2026-08-23 16:46:44","","","",,,,,,28,28.00,5,6,1,"Heart sounds play a crucial role in assessing Coronary Artery Disease (CAD). The advancement of Artificial Intelligence (AI) technologies has given rise to Computer Audition …","","https://scholar.google.com/scholar?q=related:UBUAq6CA2gkJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
23,"C Sun, C Liu, X Wang, Y Liu, S Zhao","Coronary artery disease detection based on a novel multi-modal deep-coding method using ECG and PCG signals",2024,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/24/21/6939","https://scholar.google.com/scholar?cites=5843006524523813666&as_sdt=80005&sciodt=0,11&hl=en",5,"2026-08-23 16:46:44","HTML","","",,,,,,23,11.50,5,5,2,"Coronary artery disease (CAD) is an irreversible and fatal disease. It necessitates timely and precise diagnosis to slow CAD progression. Electrocardiogram (ECG) and …","https://www.mdpi.com/1424-8220/24/21/6939","https://scholar.google.com/scholar?q=related:IhuI-nmHFlEJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
21,"C Sun, X Liu, C Liu, X Wang, Y Liu, S Zhao, M Zhang","Enhanced cad detection using novel multi-modal learning: Integration of ecg, pcg, and coupling signals",2024,"Bioengineering","mdpi.com","https://www.mdpi.com/2306-5354/11/11/1093","https://scholar.google.com/scholar?cites=12973168336302238293&as_sdt=80005&sciodt=0,11&hl=en",6,"2026-08-23 16:46:44","HTML","","",,,,,,21,10.50,3,7,2,"Early and highly precise detection is essential for delaying the progression of coronary artery disease (CAD). Previous methods primarily based on single-modal data inherently …","https://www.mdpi.com/2306-5354/11/11/1093","https://scholar.google.com/scholar?q=related:Veqj-N3zCbQJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"A Ainiwaer, TJAJ Konings, K Kadier, X Ma…","Coronary artery disease diagnosis with signal processing and machine learning of heart sound signals: a systematic review",2026,"npj Digital …","nature.com","https://www.nature.com/articles/s41746-026-02530-8","",7,"2026-08-23 16:46:44","","","",,,,,,0,0.00,0,5,1,"Coronary artery disease (CAD) remains a major contributor to morbidity and mortality worldwide. Heart sound analysis has been investigated as a noninvasive approach to CAD …","https://www.nature.com/articles/s41746-026-02530-8_reference.pdf","https://scholar.google.com/scholar?q=related:i82T2Kv5W7gJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
4,"MK Nath, SS Dash, K Mookkandi","Towards intelligent phonocardiogram analysis: Advances and future perspectives in cardiovascular disease detection",2026,"Engineering Applications of Artificial …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0952197625033780","https://scholar.google.com/scholar?cites=4460205589578286002&as_sdt=80005&sciodt=0,11&hl=en",8,"2026-08-23 16:46:44","","","",,,,,,4,4.00,1,3,1,"Abstract Phonocardiogram (PCG), electrocardiogram (ECG), and ballistocardiogram (BCG) are the non-stationary digital signals used in clinics for identifying various heart related …","","https://scholar.google.com/scholar?q=related:soMGQFrV5T0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
56,"A Pathak, K Mandana, G Saha","Ensembled transfer learning and multiple kernel learning for phonocardiogram based atherosclerotic coronary artery disease detection",2022,"IEEE Journal of Biomedical …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9669106/","https://scholar.google.com/scholar?cites=3258735548767970850&as_sdt=80005&sciodt=0,11&hl=en",9,"2026-08-23 16:46:44","","","",,,,,,56,14.00,19,3,4,"Conventional machine learning has paved the way for a simple, affordable, non-invasive approach for Coronary artery disease (CAD) detection using phonocardiogram (PCG). It …","","https://scholar.google.com/scholar?q=related:IqZAUbdaOS0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
56,"K Iqtidar, U Qamar, S Aziz, MU Khan","Phonocardiogram signal analysis for classification of Coronary Artery Diseases using MFCC and 1D adaptive local ternary patterns",2021,"Computers in Biology and Medicine","Elsevier","https://www.sciencedirect.com/science/article/pii/S0010482521007204","https://scholar.google.com/scholar?cites=9833873827549311062&as_sdt=80005&sciodt=0,11&hl=en",10,"2026-08-23 16:46:44","","","",,,,,,56,11.20,14,4,5,"Abstract Coronary Artery Diseases (CADs) are a dominant cause of worldwide fatalities. The development of accurate and timely diagnosis routines is imperative to reduce these risks …","https://www.researchgate.net/profile/Sumair-Aziz/publication/355162111_Phonocardiogram_Signal_Analysis_for_Classification_of_Coronary_Artery_Diseases_using_MFCC_and_1D_Adaptive_Local_Ternary_Patterns/links/67a8a4a1645ef274a478a103/Phonocardiogram-Signal-Analysis-for-Classification-of-Coronary-Artery-Diseases-using-MFCC-and-1D-Adaptive-Local-Ternary-Patterns.pdf","https://scholar.google.com/scholar?q=related:VnAW4STweIgJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
