cited_paper_id,cited_paper,paper_year,paper_authors,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,citing_title,citing_author,citing_year,citing_abstract,venue,country,field,use_type,snapshot_date,country_source,country_matched_title
P1,Gait identification using component based gait energy image analysis,2014,"Nandy, Anup; Pathak, Akanksha; Chakraborty, Pavan; Nandi, GC",1,"BY Yashas, L Santhosh, KN Asha…",Gait Based Behaviometric Identification Using CASIA-B Dataset and Gait Energy Images,2025.0,2025 International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11034813/,"https://scholar.google.com/scholar?cites=13880660049497932006&as_sdt=80005&sciodt=0,11&hl=en",1,2026-08-23 16:34:22,,,,,,,,,1,1.0,0,4,1.0,Gait-based behaviometric identification is a sophisticated biometric authentication paradigm that leverages distinctive walking patterns of an individual for identity recognition. Unlike …,,"https://scholar.google.com/scholar?q=related:5sBHqsUCosAJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Gait Based Behaviometric Identification Using CASIA-B Dataset and Gait Energy Images,"BY Yashas, L Santhosh, KN Asha…",2025,Gait-based behaviometric identification is a sophisticated biometric authentication paradigm that leverages distinctive walking patterns of an individual for identity recognition. Unlike …,2025 International …,Unknown,Unknown,Unclassified,2026-08-23 16:34:22,error,
P1,Gait identification using component based gait energy image analysis,2014,"Nandy, Anup; Pathak, Akanksha; Chakraborty, Pavan; Nandi, GC",6,"AEK Ghalleb, NEB Amara",Remote person authentication in different scenarios based on gait and face in front view,2017.0,2017 14th International Multi …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8167008/,"https://scholar.google.com/scholar?cites=7151557675434413391&as_sdt=80005&sciodt=0,11&hl=en",2,2026-08-23 16:34:22,,,,,,,,,6,0.67,3,2,9.0,"To predict criminal acts and to assure more security, the biometric remote recognition of people has lately been getting much interest among researchers. We propose in this paper …",,"https://scholar.google.com/scholar?q=related:T438stBvP2MJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Remote person authentication in different scenarios based on gait and face in front view,"AEK Ghalleb, NEB Amara",2017,"To predict criminal acts and to assure more security, the biometric remote recognition of people has lately been getting much interest among researchers. We propose in this paper …",2017 14th International Multi …,Unknown,Unknown,Unclassified,2026-08-23 16:34:22,error,
P1,Gait identification using component based gait energy image analysis,2014,"Nandy, Anup; Pathak, Akanksha; Chakraborty, Pavan; Nandi, GC",3,"C Wattanapanich, H Wei",Investigation of gait representations in lower knee gait recognition,2016.0,International Conference on Pattern …,scitepress.org,https://www.scitepress.org/PublishedPapers/2016/58170/,"https://scholar.google.com/scholar?cites=10109867440516390497&as_sdt=80005&sciodt=0,11&hl=en",3,2026-08-23 16:34:22,,,,,,,,,3,0.3,2,2,10.0,"This paper investigates the effect of lower knee gait representations on gait recognition. After reviewing three emerging gait representations, ie Gait Energy Image (GEI), Gait Entropy …",https://www.scitepress.org/PublishedPapers/2016/58170/58170.pdf,"https://scholar.google.com/scholar?q=related:YV5Ebt92TYwJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Investigation of gait representations in lower knee gait recognition,"C Wattanapanich, H Wei",2016,"This paper investigates the effect of lower knee gait representations on gait recognition. After reviewing three emerging gait representations, ie Gait Energy Image (GEI), Gait Entropy …",International Conference on Pattern …,Unknown,Unknown,Unclassified,2026-08-23 16:34:22,error,
P1,Gait identification using component based gait energy image analysis,2014,"Nandy, Anup; Pathak, Akanksha; Chakraborty, Pavan; Nandi, GC",1,SV Ponte,Increased Fall Risk Evaluation in the Elderly: A Video-based Approach for Gait Analysis,2021.0,,search.proquest.com,https://search.proquest.com/openview/dc66b6a594cb433b05667377f116bccf/1?pq-origsite=gscholar&cbl=2026366&diss=y,"https://scholar.google.com/scholar?cites=15065284449307635631&as_sdt=80005&sciodt=0,11&hl=en",4,2026-08-23 16:34:22,,,,,,,,,1,0.2,1,1,5.0,"Worldwide, falls are a major public health problem. Their risk assessment occurs predominantly in clinical environments, having a great dependency on the healthcare …",https://repositorio.ulisboa.pt/bitstreams/149d8d3c-c349-4736-b55d-f2ea46c5c0f3/download,"https://scholar.google.com/scholar?q=related:r68yKWOkEtEJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Increased Fall Risk Evaluation in the Elderly: A Video-based Approach for Gait Analysis,SV Ponte,2021,"Worldwide, falls are a major public health problem. Their risk assessment occurs predominantly in clinical environments, having a great dependency on the healthcare …",Unknown,Unknown,Unknown,Unclassified,2026-08-23 16:34:22,error,
P1,Gait identification using component based gait energy image analysis,2014,"Nandy, Anup; Pathak, Akanksha; Chakraborty, Pavan; Nandi, GC",0,C Wattanapanich,Investigation of gait representations and partial body gait recognition,2019.0,,centaur.reading.ac.uk,https://centaur.reading.ac.uk/id/eprint/84979,,5,2026-08-23 16:34:22,,,,,,,,,0,0.0,0,1,7.0,Recognising an individual by the way they walk is one of the most popular research subjects within the field of soft biometrics in last few decades. The advancement of technology and …,https://centaur.reading.ac.uk/84979/1/22836825_Wattanapanich_thesis.pdf,"https://scholar.google.com/scholar?q=related:jip_UXA5P9YJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Investigation of gait representations and partial body gait recognition,C Wattanapanich,2019,Recognising an individual by the way they walk is one of the most popular research subjects within the field of soft biometrics in last few decades. The advancement of technology and …,Unknown,Unknown,Unknown,Unclassified,2026-08-23 16:34:22,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",860,"FM Shiri, T Perumal, N Mustapha…","A comprehensive overview and comparative analysis on deep learning models: CNN, RNN, LSTM, GRU",2023.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2305.17473,"https://scholar.google.com/scholar?cites=12135649101654784395&as_sdt=80005&sciodt=0,11&hl=en",1,2026-08-23 16:36:31,,,,,,,,,860,286.67,215,4,3.0,"Deep learning (DL) has emerged as a powerful subset of machine learning (ML) and artificial intelligence (AI), outperforming traditional ML methods, especially in handling …",https://arxiv.org/pdf/2305.17473,"https://scholar.google.com/scholar?q=related:i_nrfo98aqgJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11","A comprehensive overview and comparative analysis on deep learning models: CNN, RNN, LSTM, GRU","FM Shiri, T Perumal, N Mustapha…",2023,"Deep learning (DL) has emerged as a powerful subset of machine learning (ML) and artificial intelligence (AI), outperforming traditional ML methods, especially in handling …",arXiv preprint arXiv …,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",32,"M Jafari, X Tao, P Barua, RS Tan, UR Acharya",Application of transfer learning for biomedical signals: A comprehensive review of the last decade (2014–2024),2025.0,Information Fusion,Elsevier,https://www.sciencedirect.com/science/article/pii/S1566253525000557,"https://scholar.google.com/scholar?cites=859787519003830301&as_sdt=80005&sciodt=0,11&hl=en",2,2026-08-23 16:36:31,HTML,,,,,,,,32,32.0,6,5,1.0,Precise and timely disease diagnosis is essential for making effective treatment decisions and halting disease progression. Biomedical signals offer the potential for non-invasive …,https://www.sciencedirect.com/science/article/pii/S1566253525000557,"https://scholar.google.com/scholar?q=related:HaiJdDGU7gsJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Application of transfer learning for biomedical signals: A comprehensive review of the last decade (2014–2024),"M Jafari, X Tao, P Barua, RS Tan, UR Acharya",2025,Precise and timely disease diagnosis is essential for making effective treatment decisions and halting disease progression. Biomedical signals offer the potential for non-invasive …,Information Fusion,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",39,"B Zhu, Z Zhou, S Yu, X Liang, Y Xie, Q Sun",Review of phonocardiogram signal analysis: Insights from the PhysioNet/CinC challenge 2016 database,2024.0,Electronics,mdpi.com,https://www.mdpi.com/2079-9292/13/16/3222,"https://scholar.google.com/scholar?cites=3399580081315916887&as_sdt=80005&sciodt=0,11&hl=en",3,2026-08-23 16:36:31,HTML,,,,,,,,39,19.5,7,6,2.0,"The phonocardiogram (PCG) is a crucial tool for the early detection, continuous monitoring, accurate diagnosis, and efficient management of cardiovascular diseases. It has the …",https://www.mdpi.com/2079-9292/13/16/3222,"https://scholar.google.com/scholar?q=related:VyxUfBK8LS8J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Review of phonocardiogram signal analysis: Insights from the PhysioNet/CinC challenge 2016 database,"B Zhu, Z Zhou, S Yu, X Liang, Y Xie, Q Sun",2024,"The phonocardiogram (PCG) is a crucial tool for the early detection, continuous monitoring, accurate diagnosis, and efficient management of cardiovascular diseases. It has the …",Electronics,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",49,"K Ranipa, WP Zhu, MNS Swamy",A novel feature-level fusion scheme with multimodal attention CNN for heart sound classification,2024.0,Computer Methods and Programs in …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0169260724001184,"https://scholar.google.com/scholar?cites=3297089575199899496&as_sdt=80005&sciodt=0,11&hl=en",4,2026-08-23 16:36:31,,,,,,,,,49,24.5,16,3,2.0,Background and objective Most of the existing machine learning-based heart sound classification methods achieve limited accuracy. Since they primarily depend on single …,,"https://scholar.google.com/scholar?q=related:aP9u-n-dwS0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",A novel feature-level fusion scheme with multimodal attention CNN for heart sound classification,"K Ranipa, WP Zhu, MNS Swamy",2024,Background and objective Most of the existing machine learning-based heart sound classification methods achieve limited accuracy. Since they primarily depend on single …,Computer Methods and Programs in …,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",33,"RM Al-Tam, AM Al-Hejri, E Naji, FA Hashim…",A hybrid framework of transformer encoder and residential conventional for cardiovascular disease recognition using heart sounds,2024.0,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10658979/,"https://scholar.google.com/scholar?cites=8146384801718991644&as_sdt=80005&sciodt=0,11&hl=en",5,2026-08-23 16:36:31,,,,,,,,,33,16.5,7,5,2.0,Valvular heart disease (VHD) is one of the primary causes of cardiovascular illnesses with high mortality rates worldwide. Early detection of VHD enables optimal treatment and stops …,https://ieeexplore.ieee.org/iel8/6287639/6514899/10658979.pdf,"https://scholar.google.com/scholar?q=related:HPsZ1tDFDXEJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",A hybrid framework of transformer encoder and residential conventional for cardiovascular disease recognition using heart sounds,"RM Al-Tam, AM Al-Hejri, E Naji, FA Hashim…",2024,Valvular heart disease (VHD) is one of the primary causes of cardiovascular illnesses with high mortality rates worldwide. Early detection of VHD enables optimal treatment and stops …,IEEE …,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",41,"J Wang, J Zang, S Yao, Z Zhang, C Xue",Multiclassification for heart sound signals under multiple networks and multi-view feature,2024.0,Measurement,Elsevier,https://www.sciencedirect.com/science/article/pii/S0263224123015865,"https://scholar.google.com/scholar?cites=15627422074977877317&as_sdt=80005&sciodt=0,11&hl=en",6,2026-08-23 16:36:31,,,,,,,,,41,20.5,8,5,2.0,"Heart sound signals play a crucial role in assessing cardiovascular health. Building upon this, we have designed five networks to effectively classify these signals. Initially, it is …",,"https://scholar.google.com/scholar?q=related:RX0nXpTB39gJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Multiclassification for heart sound signals under multiple networks and multi-view feature,"J Wang, J Zang, S Yao, Z Zhang, C Xue",2024,"Heart sound signals play a crucial role in assessing cardiovascular health. Building upon this, we have designed five networks to effectively classify these signals. Initially, it is …",Measurement,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",4,"MK Nath, SS Dash, K Mookkandi",Towards intelligent phonocardiogram analysis: Advances and future perspectives in cardiovascular disease detection,2026.0,Engineering Applications of Artificial …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0952197625033780,"https://scholar.google.com/scholar?cites=4460205589578286002&as_sdt=80005&sciodt=0,11&hl=en",7,2026-08-23 16:36:31,,,,,,,,,4,4.0,1,3,1.0,"Abstract Phonocardiogram (PCG), electrocardiogram (ECG), and ballistocardiogram (BCG) are the non-stationary digital signals used in clinics for identifying various heart related …",,"https://scholar.google.com/scholar?q=related:soMGQFrV5T0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Towards intelligent phonocardiogram analysis: Advances and future perspectives in cardiovascular disease detection,"MK Nath, SS Dash, K Mookkandi",2026,"Abstract Phonocardiogram (PCG), electrocardiogram (ECG), and ballistocardiogram (BCG) are the non-stationary digital signals used in clinics for identifying various heart related …",Engineering Applications of Artificial …,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",37,"KK Mohammed, EI Abd El-Latif, NE El-Sayad…",Radio frequency fingerprint-based drone identification and classification using Mel spectrograms and pre-trained YAMNet neural,2023.0,Internet of Things,Elsevier,https://www.sciencedirect.com/science/article/pii/S2542660523002020,"https://scholar.google.com/scholar?cites=7321524895768494736&as_sdt=80005&sciodt=0,11&hl=en",8,2026-08-23 16:36:31,,,,,,,,,37,12.33,9,4,3.0,"The convergence of drones with the Internet of Things (IoT) has paved the way for the Internet of Drones (IoD), an interconnected network of drones, ground control systems, and …",,"https://scholar.google.com/scholar?q=related:kMJ1AhpIm2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Radio frequency fingerprint-based drone identification and classification using Mel spectrograms and pre-trained YAMNet neural,"KK Mohammed, EI Abd El-Latif, NE El-Sayad…",2023,"The convergence of drones with the Internet of Things (IoT) has paved the way for the Internet of Drones (IoD), an interconnected network of drones, ground control systems, and …",Internet of Things,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",17,"A Gudigar, U Raghavendra, M Maithri, J Samanth…",Automated system for the detection of heart anomalies using phonocardiograms: A systematic review,2024.0,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10685373/,"https://scholar.google.com/scholar?cites=8708295670581517125&as_sdt=80005&sciodt=0,11&hl=en",9,2026-08-23 16:36:31,,,,,,,,,17,8.5,3,5,2.0,Phonocardiogram (PCG) signals generated by the heart contain information about heart conditions. This review examines how PCG analysis identifies and diagnoses heart issues …,https://ieeexplore.ieee.org/iel8/6287639/6514899/10685373.pdf,"https://scholar.google.com/scholar?q=related:RVsVHMYU2ngJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",Automated system for the detection of heart anomalies using phonocardiograms: A systematic review,"A Gudigar, U Raghavendra, M Maithri, J Samanth…",2024,Phonocardiogram (PCG) signals generated by the heart contain information about heart conditions. This review examines how PCG analysis identifies and diagnoses heart issues …,IEEE …,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
P2,Transfer learning based heart valve disease classification from phonocardiogram signal,2023,"Maity, Arnab; Pathak, Akanksha; Saha, Goutam",13,"X Bi, S Tang, B Xiao, W Li, X Gao…",A systematic review of heart sound detection algorithms: Experimental results and insights,2025.0,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10909012/,"https://scholar.google.com/scholar?cites=14371155424508395480&as_sdt=80005&sciodt=0,11&hl=en",10,2026-08-23 16:36:31,,,,,,,,,13,13.0,2,6,1.0,"Automatic heart sound detection plays a vital role in the early detection of cardiovascular diseases (CVDs). In recent years, many heart sound detection algorithms have been …",,"https://scholar.google.com/scholar?q=related:2D_AibeZcMcJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11",A systematic review of heart sound detection algorithms: Experimental results and insights,"X Bi, S Tang, B Xiao, W Li, X Gao…",2025,"Automatic heart sound detection plays a vital role in the early detection of cardiovascular diseases (CVDs). In recent years, many heart sound detection algorithms have been …",IEEE Transactions on …,Unknown,Unknown,Unclassified,2026-08-23 16:36:31,error,
